transaction_id,amount,hour,distance_from_home,is_fraud,date,pipeline_run
TXN_20260327_172315_0000,40.05,17,12.47,0,2026-03-27,20260327_172315
TXN_20260327_172315_0001,20.95,15,15.1,0,2026-03-27,20260327_172315
TXN_20260327_172315_0002,181.39,9,6.89,0,2026-03-27,20260327_172315
TXN_20260327_172315_0003,142.18,17,5.65,0,2026-03-27,20260327_172315
TXN_20260327_172315_0004,16.21,15,0.11,0,2026-03-27,20260327_172315
TXN_20260327_172315_0005,36.13,12,12.62,0,2026-03-27,20260327_172315
TXN_20260327_172315_0006,14.61,21,52.1,0,2026-03-27,20260327_172315
TXN_20260327_172315_0007,22.88,19,9.99,0,2026-03-27,20260327_172315
TXN_20260327_172315_0008,71.95,10,8.02,0,2026-03-27,20260327_172315
TXN_20260327_172315_0009,109.36,14,0.97,0,2026-03-27,20260327_172315
TXN_20260327_172315_0010,110.25,10,16.3,0,2026-03-27,20260327_172315
TXN_20260327_172315_0011,282.55,13,1.0,0,2026-03-27,20260327_172315
TXN_20260327_172315_0012,102.73,20,7.08,0,2026-03-27,20260327_172315
TXN_20260327_172315_0013,131.73,21,5.48,0,2026-03-27,20260327_172315
TXN_20260327_172315_0014,18.96,17,19.18,0,2026-03-27,20260327_172315
TXN_20260327_172315_0015,1903.71,9,0.99,0,2026-03-27,20260327_172315
TXN_20260327_172315_0016,12.31,20,8.94,0,2026-03-27,20260327_172315
TXN_20260327_172315_0017,3011.4,0,605.89,1,2026-03-27,20260327_172315
TXN_20260327_172315_0018,92.73,16,8.28,0,2026-03-27,20260327_172315
TXN_20260327_172315_0019,628.7,12,1.95,0,2026-03-27,20260327_172315
TXN_20260327_172315_0020,274.84,15,0.97,0,2026-03-27,20260327_172315
TXN_20260327_172315_0021,15.22,8,0.0,0,2026-03-27,20260327_172315
TXN_20260327_172315_0022,110.94,16,4.39,0,2026-03-27,20260327_172315
TXN_20260327_172315_0023,172.05,12,41.61,0,2026-03-27,20260327_172315
TXN_20260327_172315_0024,544.45,0,155.14,1,2026-03-27,20260327_172315
TXN_20260327_172315_0025,17.68,9,2.91,0,2026-03-27,20260327_172315
TXN_20260327_172315_0026,190.64,17,41.0,0,2026-03-27,20260327_172315
TXN_20260327_172315_0027,64.4,10,4.71,0,2026-03-27,20260327_172315
TXN_20260327_172315_0028,210.1,17,6.99,0,2026-03-27,20260327_172315
TXN_20260327_172315_0029,90.29,9,19.25,0,2026-03-27,20260327_172315
TXN_20260327_172315_0030,20.6,21,3.94,0,2026-03-27,20260327_172315
TXN_20260327_172315_0031,116.5,21,0.6,0,2026-03-27,20260327_172315
TXN_20260327_172315_0032,8194.12,0,24.17,1,2026-03-27,20260327_172315
TXN_20260327_172315_0033,17.09,8,1.19,0,2026-03-27,20260327_172315
TXN_20260327_172315_0034,36.62,17,11.02,0,2026-03-27,20260327_172315
TXN_20260327_172315_0035,120.76,21,3.92,0,2026-03-27,20260327_172315
TXN_20260327_172315_0036,51.53,12,42.96,0,2026-03-27,20260327_172315
TXN_20260327_172315_0037,12.81,8,1.46,0,2026-03-27,20260327_172315
TXN_20260327_172315_0038,53.45,19,3.31,0,2026-03-27,20260327_172315
TXN_20260327_172315_0039,192.9,15,4.28,0,2026-03-27,20260327_172315
TXN_20260327_172315_0040,130.94,8,5.21,0,2026-03-27,20260327_172315
TXN_20260327_172315_0041,29.86,20,5.58,0,2026-03-27,20260327_172315
TXN_20260327_172315_0042,45.42,9,8.48,0,2026-03-27,20260327_172315
TXN_20260327_172315_0043,60.23,13,13.89,0,2026-03-27,20260327_172315
TXN_20260327_172315_0044,62.11,17,12.95,0,2026-03-27,20260327_172315
TXN_20260327_172315_0045,102.51,16,9.11,0,2026-03-27,20260327_172315
TXN_20260327_172315_0046,71.84,21,2.48,0,2026-03-27,20260327_172315
TXN_20260327_172315_0047,16.54,14,69.51,0,2026-03-27,20260327_172315
TXN_20260327_172315_0048,42.09,20,0.2,0,2026-03-27,20260327_172315
TXN_20260327_172315_0049,60.9,17,13.06,0,2026-03-27,20260327_172315
TXN_20260327_172315_0050,75.11,12,23.8,0,2026-03-27,20260327_172315
TXN_20260327_172315_0051,21.32,14,7.58,0,2026-03-27,20260327_172315
TXN_20260327_172315_0052,30.48,20,0.31,0,2026-03-27,20260327_172315
TXN_20260327_172315_0053,64.58,8,11.93,0,2026-03-27,20260327_172315
TXN_20260327_172315_0054,137.87,14,10.47,0,2026-03-27,20260327_172315
TXN_20260327_172315_0055,20.52,20,8.08,0,2026-03-27,20260327_172315
TXN_20260327_172315_0056,47.77,11,61.64,0,2026-03-27,20260327_172315
TXN_20260327_172315_0057,13.09,21,4.7,0,2026-03-27,20260327_172315
TXN_20260327_172315_0058,30.58,21,1.62,0,2026-03-27,20260327_172315
TXN_20260327_172315_0059,313.14,14,17.2,0,2026-03-27,20260327_172315
TXN_20260327_172315_0060,161.05,16,19.74,0,2026-03-27,20260327_172315
TXN_20260327_172315_0061,67.42,9,8.5,0,2026-03-27,20260327_172315
TXN_20260327_172315_0062,43.71,19,4.71,0,2026-03-27,20260327_172315
TXN_20260327_172315_0063,96.99,16,0.59,0,2026-03-27,20260327_172315
TXN_20260327_172315_0064,35.13,19,68.92,0,2026-03-27,20260327_172315
TXN_20260327_172315_0065,269.15,14,6.91,0,2026-03-27,20260327_172315
TXN_20260327_172315_0066,21.01,9,1.73,0,2026-03-27,20260327_172315
TXN_20260327_172315_0067,569.95,11,19.24,0,2026-03-27,20260327_172315
TXN_20260327_172315_0068,314.45,13,2.29,0,2026-03-27,20260327_172315
TXN_20260327_172315_0069,237.59,14,0.32,0,2026-03-27,20260327_172315
TXN_20260327_172315_0070,35.21,15,7.52,0,2026-03-27,20260327_172315
TXN_20260327_172315_0071,24.54,8,16.68,0,2026-03-27,20260327_172315
TXN_20260327_172315_0072,1566.9,15,9.12,0,2026-03-27,20260327_172315
TXN_20260327_172315_0073,231.72,19,0.86,0,2026-03-27,20260327_172315
TXN_20260327_172315_0074,131.74,14,15.74,0,2026-03-27,20260327_172315
TXN_20260327_172315_0075,37.79,12,4.48,0,2026-03-27,20260327_172315
TXN_20260327_172315_0076,16.41,13,7.93,0,2026-03-27,20260327_172315
TXN_20260327_172315_0077,67.4,10,3.61,0,2026-03-27,20260327_172315
TXN_20260327_172315_0078,47.02,13,2.93,0,2026-03-27,20260327_172315
TXN_20260327_172315_0079,33.66,15,10.49,0,2026-03-27,20260327_172315
TXN_20260327_172315_0080,3.81,20,6.36,0,2026-03-27,20260327_172315
TXN_20260327_172315_0081,106.93,9,6.79,0,2026-03-27,20260327_172315
TXN_20260327_172315_0082,24.38,16,3.19,0,2026-03-27,20260327_172315
TXN_20260327_172315_0083,25.68,21,37.73,0,2026-03-27,20260327_172315
TXN_20260327_172315_0084,238.86,14,6.4,0,2026-03-27,20260327_172315
